Name,Status,Priority,Notes
Custom checklist tasks,Not Started,Low,"[Feature] Allow users to add custom tasks to pre-Shabbat checklist (currently only 6 predefined tasks) | File: lib/widgets/ | Est: 8h"
Reorderable checklist,Not Started,Low,"[Feature] Let users reorder checklist tasks by priority | File: lib/widgets/ | Est: 6h"
Custom notification messages,Not Started,Low,"[Feature] Allow users to customize notification text | File: lib/ | Est: 6h"
Notification scheduling preview,Not Started,Low,"[Feature] Show calendar view of all upcoming scheduled notifications | File: lib/widgets/ | Est: 12h"
Sync reminder city with events city,Not Started,Low,"[Feature] Two separate city selections can get out of sync. Implement validation or use single city selection | File: lib/ | Est: 6h"
Add notification history,Not Started,Low,"[Feature] Keep log of sent notifications for debugging | File: lib/ | Est: 8h"
Customize notification sound/vibration,Not Started,Low,"[Feature] Allow users to choose notification sound and vibration pattern | File: lib/ | Est: 6h"
Add notification grouping,Not Started,Low,"[Feature] Group multiple notifications by type (Shabbat Holidays Daily reminders) | File: lib/ | Est: 8h"
Smart notification timing,Not Started,Low,"[Feature] Adjust notification times based on user's timezone changes automatically | File: lib/ | Est: 10h"
Expand tefillot library,Not Started,Low,"[Feature] Add more prayers (Birkat Hamazon Bedtime Shema etc.) | File: lib/ | Est: 16h"
Add transliteration,Not Started,Low,"[Feature] Provide transliteration for users learning Hebrew | File: lib/ | Est: 12h"
Add English translations,Not Started,Low,"[Feature] Include English translations of all Hebrew prayers | File: lib/ | Est: 12h"
Custom prayer notes,Not Started,Low,"[Feature] Allow users to add personal notes or intentions to prayers | File: lib/ | Est: 8h"
Prayer history,Not Started,Low,"[Feature] Track which prayers user has completed | File: lib/ | Est: 10h"
Daily learning,Not Started,Low,"[Feature] Add daily Torah portion Mishna or Tanya | File: lib/ | Est: 16h"
